Record_ID,URL_Limo,Date_1,Date_2,Note_on_Content,ENGcontent,Source_of_Illustration,Main_Title,RoundedDate,PlaceName1,Lat1,Long1,Local_Uniform_Title_Category,Object,Local_Subj_Building_Type,Local_Subj_Building,Local_Subj_Street,Local_Subj_Pano,Local_Subj_Event,Creator_Name1,Creator_Name 2,Creator_Name_$a3,Local_Uniform_Title_City1,URL_Digital_Object,URL_Thumbnail,Physical_Original
9984685980101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984685980101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,"$a Panoramisch zicht op het klooster van de dominicanen, waarbij de verschillende gebouwen zijn aangeduid en benoemd.","$a Panoramic view of the monastery of the Dominicans, where the various buildings are indicated and named.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Le Couvent des Dominicains,18,Onze-Lieve-Vrouw-ten-Predikherenkerk,50.87893,4.6961,Religious buildings,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Onze-Lieve-Vrouw ten Predikherenkerk","$a VoL Street$x Leuven, Onze-Lieve-Vrouwstraat",,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 graphic artist","$a de Jonge, F.B.°°° $4 art°°° $3 designer",,$a Leuven,http://resolver.libis.be/IE978853/representation,http://resolver.libis.be/IE978853/thumbnail,KU Leuven Libraries BIBC BRES TA00383
9984686350101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984686350101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,"$a Gezicht op de priorij van Ter Bank. Bovenaan, links en rechts een penning geslagen ter gelegenheid van de herbouw van de gevel van de kerk in 1672. Rechts wapenschilden.","$a View of Ter Bank Priory. Top, left and right a medal struck on the occasion of the rebuilding of the facade of the church in 1672. On the right coats of arms.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Intérieur du couvent de Terbank,18,Couvent de Terbank,50.874155,4.672714,Religious buildings,,$a VoL Building type$x monastery°°° $a VoL Building type$x churches (church buildings),,"$a VoL Street$x Heverlee, Tervuursesteenweg",,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 designer","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 graphic artist",,$a Heverlee,http://resolver.libis.be/IE978860/representation,http://resolver.libis.be/IE978860/thumbnail,KU Leuven Libraries BIBC BRES TA00384
9984686820101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984686820101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op de kerk van het Witte-Vrouwenklooster en op de priorij van de Elfduizend Maagden.,$a View of the church of the White Women's Monastery and the priory of the Eleven Thousand Virgins.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a L'Eglise du Couvent des Dames blanches / Le Prieuré de onze mille vierges,18,Witte-Vrouwenklooster,50.88097,4.70366,Religious buildings,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Witvrouwenklooster°°° $a VoL Building$x Leuven, Priorij van de Elfduizend Maagden","$a VoL Street$x Leuven, Diestsestraat°°° $a VoL Street$x Leuven, Halvestraat",,,"$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 designer and graphic artist",,,$a Leuven,http://resolver.libis.be/IE978867/representation,http://resolver.libis.be/IE978867/thumbnail,KU Leuven Libraries BIBC BRES TA00385
9984687110101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687110101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,"$a Schilderij 'De aanbidding der Koningen (Wijzen)' door Rubens in de kerk van het Witvrouwenklooster, gestolen in opdracht van keizer Jozef II.","$a Painting 'The Adoration of the Kings (Wise Men)' by Rubens in the church of the White-Women's Monastery, stolen by order of Emperor Joseph II.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Tableau excecuté en 1633, par P.-P. Rubens",18,Witte-Vrouwenklooster (object),50.88097,4.70366,,yes,$a VoL Building type$x monastery,"$a VoL Building$x Leuven, Witvrouwenklooster",,,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 designer","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 graphic artist",,$a Leuven,http://resolver.libis.be/IE978874/representation,http://resolver.libis.be/IE978874/thumbnail,KU Leuven Libraries BIBC BRES TA00386
9984687110101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687110101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,"$a Schilderij 'De aanbidding der Koningen (Wijzen)' door Rubens in de kerk van het Witvrouwenklooster, gestolen in opdracht van keizer Jozef II.","$a Painting 'The Adoration of the Kings (Wise Men)' by Rubens in the church of the White-Women's Monastery, stolen by order of Emperor Joseph II.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Tableau excecuté en 1633, par P.-P. Rubens",18,Witte-Vrouwenklooster,50.88097,4.70366,Religious buildings,,$a VoL Building type$x monastery,"$a VoL Building$x Leuven, Witvrouwenklooster",,,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 designer","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 graphic artist",,$a Leuven,http://resolver.libis.be/IE978874/representation,http://resolver.libis.be/IE978874/thumbnail,KU Leuven Libraries BIBC BRES TA00386
9984687710101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687710101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op de barokgevel van het klooster van de Zwartzusters en het kloostergebouw.,$a View of the Baroque facade of the Black Sisters' convent and the convent building.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Le Couvent des Sœurs Noires rebati en 1680,18,Klooster van de Zwartzusters,50.87327,4.69766,Religious buildings,,$a VoL Building type$x monastery°°° $a VoL Building type$x churches (church buildings),"$a VoL Building$x Leuven, Klooster der Zwarte Zusters of van Nazareth","$a VoL Street$x Leuven, Zwartzustersstraat",,,"$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 designer and graphic artist",,,$a Leuven,http://resolver.libis.be/IE978881/representation,http://resolver.libis.be/IE978881/thumbnail,KU Leuven Libraries BIBC BRES TA00387
9984687960101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687960101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op het klooster van de Clarissen.,$a View of the convent of the Poor Clares.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Extérieur du Couvent des Religieuses de Ste. Claire dites Clairisses,18,Zusters Klarissen,50.87211,4.73841,Religious buildings,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Clarissenklooster",,,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art",,$a Leuven,http://resolver.libis.be/IE978888/representation,http://resolver.libis.be/IE978888/thumbnail,KU Leuven Libraries BIBC BRES TA00388
9984688080101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688080101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op het geheel van het klooster van de Clarissen.,$a View of the whole convent of the Poor Clares.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Intérieur du Couvent des Religieuses de Ste. Claire, dites Clairisses",18,Zusters Klarissen,50.87211,4.73841,Religious buildings,,,"$a VoL Building$x Leuven, Clarissenklooster",,,,"$a Joos, A.°°° $4 art",,,$a Leuven,http://resolver.libis.be/IE978895/representation,http://resolver.libis.be/IE978895/thumbnail,KU Leuven Libraries BIBC BRES TA00389
9984688350101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688350101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op de vertrekken en de kerk van de de abdij Onze-Lieve-Vrouw ten Wijngaert van de cisterciënzerinnen.,$a View of the rooms and the church of the Abbey of Our Lady at the Vineyard of the Cistercian women.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Le Couvent de la Vignette Notre-Dame, Dit sous le château",18,Onze-Lieve-Vrouw ten Wijngaert van de cisterciënzerinnen,50.885594,4.694382,Religious buildings,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,,"$a VoL Street$x Leuven, Mechelsestraat (formerly: Borchstraat/Schipstraat)",,,"$a Joos, A.°°° $4 art",,,$a Leuven,http://resolver.libis.be/IE978902/representation,http://resolver.libis.be/IE978902/thumbnail,KU Leuven Libraries BIBC BRES TA00390
9984688560101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688560101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",18uu,\\\\,$a Gezicht op het klooster van de Zusters Annuntiaten.,$a View of the convent of the Annunciate Sisters.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Le Couvent des Annonciades, fondé en 1527",18,Klooster van de Zusters Annonciaden,50.87945,4.6889,Religious buildings,,$a VoL Building type$x monastery,"$a VoL Building$x Leuven, Klooster van de zusters Annonciaden","$a VoL Street$x Leuven, Tervuursestraat (formerly: Oude Brusselsestraat)",,,"$a Joos, A.°°° $4 art",,,$a Leuven,http://resolver.libis.be/IE978909/representation,http://resolver.libis.be/IE978909/thumbnail,KU Leuven Libraries BIBC BRES TA00391
